x,y,acquisitions,source,crs,tolerance_m
634774.1465908143,6276167.50011165,46,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634072.748177177,6281187.609317177,44,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635473.7139151437,6281859.852861677,44,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633943.5488604117,6274505.99157361,44,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633720.3502497597,6275806.19978163,43,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633460.571378943,6277105.660442196,43,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632809.737726499,6284613.546021344,43,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634768.4665439003,6279242.438770093,43,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632609.0440681332,6285193.281326294,43,archive: seen in 20+ acquisitions,EPSG:25832,100.0
640011.2736834357,6274511.358800552,43,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634583.1872171069,6284063.264014835,43,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633841.820711576,6275153.023597131,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635701.8280325995,6281310.24971856,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
641048.7694274054,6273576.0910373265,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632985.4026583771,6286307.585347873,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
636451.8197130801,6279694.972377037,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
636199.4576398064,6280229.404207118,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
637739.3245164009,6274481.245443266,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635331.7309335562,6277615.311518743,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633809.177998134,6286303.55002594,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634380.6516018719,6284618.811624017,42,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634802.6821996295,6283507.804071335,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633990.4752687548,6285741.796995069,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635236.9115835336,6282402.528287447,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
639533.124878783,6275014.0644113645,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635244.794272146,6274434.336311586,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633596.1964662613,6276458.350953133,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
638205.2594540725,6276595.641283633,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
640522.5165467035,6274032.702716646,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635879.2327626547,6275985.850122239,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
639031.5850016276,6275570.642527263,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632388.923369576,6281139.726275275,41,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633192.9718226603,6278266.878850232,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633169.0852355957,6283677.197718765,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634045.6419551373,6273850.500020981,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
638558.5835933685,6276131.865854263,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
637535.2549362183,6277566.008038521,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
637251.9090012771,6278090.906444843,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
633045.4982826358,6278844.959314065,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
636714.757464009,6279158.109746133,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634306.5295465442,6280527.774552055,40,archive: seen in 20+ acquisitions,EPSG:25832,100.0
636649.1442096768,6273480.640012827,39,archive: seen in 20+ acquisitions,EPSG:25832,100.0
636407.4396121863,6274349.889017741,39,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635043.9591217041,6278425.059539795,39,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632424.8026093983,6283443.647020128,38,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635016.0762466923,6282955.185433664,38,archive: seen in 20+ acquisitions,EPSG:25832,100.0
637395.563738423,6275290.04724318,38,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634186.3459583864,6285178.39331934,38,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632564.6968520315,6280571.43149928,38,archive: seen in 20+ acquisitions,EPSG:25832,100.0
636692.8850452936,6276897.328040279,38,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635446.315869783,6273556.611788565,37,archive: seen in 20+ acquisitions,EPSG:25832,100.0
634127.6577019325,6273194.951857347,37,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632734.3413388527,6279995.550229347,37,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632164.8523341692,6286314.596122595,37,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632186.462475039,6274471.282452278,37,archive: seen in 20+ acquisitions,EPSG:25832,100.0
637862.7927449545,6277079.753687541,37,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632193.9764849345,6281709.256504604,37,archive: seen in 20+ acquisitions,EPSG:25832,100.0
636143.5943203286,6275167.8565753875,36,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632895.657391818,6279421.452268925,36,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632016.1754934839,6282271.49921823,35,archive: seen in 20+ acquisitions,EPSG:25832,100.0
635592.8192138672,6276851.533873315,34,archive: seen in 20+ acquisitions,EPSG:25832,100.0
639233.6994138258,6273625.636312551,34,archive: seen in 20+ acquisitions,EPSG:25832,100.0
638809.3003183041,6274345.09215157,33,archive: seen in 20+ acquisitions,EPSG:25832,100.0
632390.8045132955,6285756.253693898,29,archive: seen in 20+ acquisitions,EPSG:25832,100.0
641593.0639452253,6273134.268868582,21,archive: seen in 20+ acquisitions,EPSG:25832,100.0
